AFF_LOVE_POINT	Punct de dragoste: %d%%
CHEST_TEXT_5	1x |Eicon/item/peturi_mounturi/pet_rosu_royal.png|e |cFFdd1a1aPet Gardã Royalã Rubin
CHEST_TEXT_6	1x |Eicon/item/peturi_mounturi/leu_rubin.png|e |cFFdd1a1aMount Gardã Royalã Rubin
CHEST_TEXT_7	ATENÞIE!
CHEST_TEXT_8	Aveþi grijã ce alegeþi, obiectele nu se pot returna!
CHEST_TEXT_9	1x |Eicon/item/costume/costum_garda_mov_m.png|e |cFF6838b9Costum Gardã Royalã Safir
CHEST_TEXT_10	1x |Eicon/item/costume/freza_garda_mov_m.png|e |cFF6838b9Frizurã Gardã Royalã Safir
CHEST_TEXT_11	1x |Eicon/item/costume/garda_regala_2_sabie.png|e |cFF6838b9Armã Gardã Royalã Safir
CHEST_TEXT_12	1x |Eicon/item/peturi_mounturi/pet_mov_royal.png|e |cFF6838b9Pet Gardã Royalã Safir
CHEST_TEXT_13	1x |Eicon/item/peturi_mounturi/leu_safir.png|e |cFF6838b9Mount Gardã Royalã Safir
CHEST_TEXT_14	1x |Eicon/item/tickets/vip_90_zile.png|e |cFFe0d12aTichet Privilegii Premium(90z)
CHEST_TEXT_15	1x |Eicon/item/tickets/tichet_battlepass.png|e |cFFe0d12aTichet Battlepass
CHEST_TEXT_16	1x |Eicon/item/tickets/vip_30_zile.png|e |cFFcdcdcdTichet Privilegii Premium(30z)
CHEST_TEXT_17	1x |Eicon/item/tickets/tichet_battlepass.png|e |cFFcdcdcdTichet Battlepass
CHEST_TEXT_18	1x |Eicon/item/costume/easter2022_costume2_m.tga|e |cFFb42020Costum Odyssey(3z)
CHEST_TEXT_19	1x |Eicon/item/costume/easter2022_costume2_m_h.tga|e |cFFb42020Frizurã Odyssey(3z)
CHEST_TEXT_20	1x |Eicon/item/costume/easter2022_2_sword.tga|e |cFFb42020Armã Odyssey(3z)
CHEST_TEXT_21	1x |Eicon/item/costume/costum_incepator_m_negru.png|e Costum Începator Negru
CHEST_TEXT_22	1x |Eicon/item/costume/freza_incepator_m_negru.png|e Frizurã Începator Negru
CHEST_TEXT_23	1x |Eicon/item/costume/sabie_negru.png|e Armã Începãtor Negru
CHEST_TEXT_24	1x |Eicon/item/peturi_mounturi/slade_negru.png|e Slade Negru Începãtor
CHEST_TEXT_25	1x |Eicon/item/peturi_mounturi/vulpe_neagra.png|e Mount Negru Începãtor
CHEST_TEXT_26	1x |Eicon/item/costume/costum_incepator_m.png|e Costum Începator Alb
CHEST_TEXT_27	1x |Eicon/item/costume/freza_incepator_m.png|e Frizurã Începator Alb
CHEST_TEXT_28	1x |Eicon/item/costume/sabie_alb.png|e Armã Începãtor Alb
CHEST_TEXT_29	1x |Eicon/item/peturi_mounturi/slade_alb.png|e Slade Alb Începãtor
CHEST_TEXT_30	1x |Eicon/item/peturi_mounturi/vulpe_alba.png|e Mount Alb Începãtor
CHEST_TEXT_31	1x |Eicon/item/tickets/inel_discord_1.png|e |cFF8e27acAmuletã Discord(3z)
CHEST_TEXT_32	1x |Eicon/item/tickets/inel_discord_2.png|e |cFF8e27acPandantiv Discord(3z)
CHEST_TEXT_33	1x |Eicon/item/costume/costum_print_rosu.png|e |cFF652926Costum Prinþ Roºu
CHEST_TEXT_34	1x |Eicon/item/costume/frizura_print_rosu.png|e |cFF652926Frizurã Prinþ Roºie
CHEST_TEXT_35	1x |Eicon/item/costume/costum_print_albastru.png|e |cFF313c52Costum Prinþ Albastru
CHEST_TEXT_36	1x |Eicon/item/costume/frizura_print_albastru.png|e |cFF313c52Frizurã Prinþ Albastrã
CHEST_TEXT_37	1x |Eicon/item/costume/costum_print_verde.png|e |cFF055b15Costum Prinþ Verde
CHEST_TEXT_38	1x |Eicon/item/costume/frizura_print_verde.png|e |cFF055b15Frizurã Prinþ Verde
CHEST_TEXT_39	1x |Eicon/item/costume/costum_print_mov.png|e |cFF52009cCostum Prinþ Mov
CHEST_TEXT_40	1x |Eicon/item/costume/frizura_print_mov.png|e |cFF52009cFrizurã Prinþ Mov
CHEST_TEXT_41	1x |Eicon/item/costume/costum_print_maro.png|e |cFF573600Costum Prinþ Maro
CHEST_TEXT_42	1x |Eicon/item/costume/frizura_print_maro.png|e |cFF573600Frizurã Prinþ Maro
CHEST_TEXT_43	1x |Eicon/item/tickets/vip_60_zile.png|e |cFFe0d12aTichet Privilegii Premium(60z)
CHEST_TEXT_44	1x |Eicon/item/tickets/tichet_battlepass.png|e |cFFe0d12aTichet Battlepass
CHEST_TEXT_45	1x |Eicon/item/tickets/inel_discord_1.png|e |cFF8e27acAmuletã Discord(30z)
CHEST_TEXT_46	1x |Eicon/item/tickets/inel_discord_2.png|e |cFF8e27acPandantiv Discord(30z)
CHEST_TEXT_47	1x |Eicon/item/tickets/tichet_costum_perso.png|e |cFFd1ca64Tichet costum personalizat
CHEST_TEXT_48	1x |Eicon/item/tickets/frizura_costum_perso.png|e |cFFd1ca64Tichet frizurã personalizatã
CHEST_TEXT_49	1x |Eicon/item/tickets/skin_de_arma_perso.png|e |cFF8d1ca64Tichet skin de armã perso.
REWARD_NINJA_105	Primul ninja nivel 105
REWARD_WAR_105	Primul rãzboinic nivel 105
REWARD_SURA_105	Primul sura nivel 105
REWARD_SHAMAN_105	Primul ºaman nivel 105
REWARD_LYCAN_105	Primul lycan nivel 105
REWARD_AVERAGE	Prima armã de nivel 75 cu 60 Pagubã medie
REWARD_FIRST_CRAFT	Primul obiect craftat
REWARD_FIRST_TRANSMUTATIO	Primul obiect transmutat
REWARD_FIRST_DSS_LEGENDARY	Prima alchimie legendarã
REWARD_FIRST_FINISHED_BIOLOG	Primul biolog terminat
REWARD_FIRST_MAX_PET	Primul pet nivel maxim
REWARD_FIRST_LV100_ARMOR	Prima armurã beta +9
REWARD_FIRST_LV100_WEAPON	Prima armã beta +9
REWARD_FIRST_FULL_REFINED	Primul obiect rafinat +9
REWARD_FIRST_MONKEY_DUNG	Prima temniþa Maimuþelor
REWARD_FIRST_ORK_DUNG	Prima temniþa Orcului-alb
REWARD_FIRST_SPIDER_DUNG	Prima Baroneasã înfrântã
REWARD_FIRST_DT_DUNG	Primul Înger cu Coasã înfrânt
REWARD_FIRST_AZRAEL_DUNG	Primul Azrael înfrânt
REWARD_FIRST_DRAGON_DUNG	Primul Dragon-albastru Înfrânt
REWARD_FIRST_RAZADOR_DUNG	Primul Razador înfrânt
REWARD_FIRST_NEMERE_DUNG	Primul Nemere înfrânt
REWARD_FIRST_METIN_LV100	Primul metin de tip beta distrus
REWARD_FIRST_BOSS_LV100	Primul ºef de tip beta distrus
REWARD_FIRST_CALL_SERVER	Primul anunþ de pe server
REWARD_FIRST_LV99	Primul caracter nivel 99
REWARD_FIRST_ABSORBTION	Prima absorbþie
REWARD_FIRST_BATTLEPASS	Primul battlepass finalizat
REWARD_FIRST_CUSTOM_SASH	Prima eºarfã ratã de absorbþie 25%
DETAILS_1	Tare împ. semi-oamenilor
DETAILS_3	Tare împ. orcilor
DETAILS_4	Tare împ. vampirilor
DETAILS_5	Tare împ. monºtrilor
DETAILS_7	Tare împ. animalelor
DETAILS_8	Tare împ. esotericilor
DETAILS_9	Tare împ. diavolilor
DETAILS_10	Tare împ. ºefilor
DETAILS_11	Tare împ. pietrelor metin
DETAILS_12	Valoarea atacului
DETAILS_13	Apãrare
DETAILS_14	Pagubã medie
DETAILS_15	Rezistenþã la pagubã medie
DETAILS_16	Paguba abilitãþii
DETAILS_17	Rezistenþã la paguba abilitãþii
DETAILS_18	Atac fizic/magic
DETAILS_19	Atac magic
DETAILS_20	ªansã la loviturã criticã
DETAILS_21	ªansã la loviturã pãtrunzãtoare
DETAILS_36	Tare împ. rãzboinicilor
DETAILS_37	Tare împ. ninja
DETAILS_38	Tare împ. sura
DETAILS_39	Tare împ. ºamanilor
DETAILS_40	Tare împ. lycanilor
DETAILS_41	Rezistenþã împ. rãzboinicilor
DETAILS_42	Rezistenþã împ. ninja
DETAILS_43	Rezistenþã împ. sura
DETAILS_44	Rezistenþã împ. ºamanilor
DETAILS_45	Rezistenþã împ. lycanilor
DETAILS_46	Apãrare sabie
DETAILS_47	Apãrare pumnal
DETAILS_48	Apãrare douã-mâini
DETAILS_50	Apãrare clopot
DETAILS_51	Apãrare evantai
DETAILS_52	Apãrare sãgeþi
DETAILS_53	ªansã de necunoºtinþã
DETAILS_54	ªansã de încetinire
DETAILS_55	ªansã de otrãvire
DETAILS_56	Rezistenþã otravã
DETAILS_59	ªansã de a fura PV
DETAILS_60	ªansã de a fura SP
DETAILS_61	Regenerare PV
DETAILS_62	Regenerare SP
DETAILS_63	ªansa de a bloca un atac corporal
DETAILS_64	ªansã evitare atacul cu sãgeþi
DETAILS_65	ªansa de a reflecta un atac corporal
DETAILS_66	ªansa de a reface PV
DETAILS_67	ªansa de a reface SP
DETAILS_68	ªansã la bonus-EXP
DETAILS_69	ªansã dublu yang
DETAILS_70	ªansã dublu drop
DETAILS_71	Atac
DETAILS_72	Apãrare
DETAILS_73	Bonus Experienþã
DETAILS_74	Bonus Drop
DETAILS_75	Bonus Yang
DETAILS_76	Rezistenþã la magie
DETAILS_78	|cff23B7E8Puterea fulgerului
DETAILS_79	|cff3D6CD0Puterea gheþii
DETAILS_80	|cffB72EE0Puterea întunecatã
DETAILS_81	|cffDD483BPuterea focului
DETAILS_82	|cff37CF21Puterea vântului
DETAILS_83	|cffF4CA10Puterea pãmântului
DETAILS_90	Rezistenþã împ. semi-oamenilor
RELOG_OPTION	Pentru trecerea la opþiunea aleasã, jocul trebuie re-pornit.
PREMIUM_TEXT_1_V1	Premium Status: |cff82FF7DActiv|Ed:/ymir work/ui/premium_logo_v3.png|e
PREMIUM_TEXT_1_V2	Premium Status: |cff82FF7DActiv|Ed:/ymir work/ui/premium_logo.png|e
PREMIUM_TEXT_1_V3	Premium Status: |cff82FF7DActiv|Ed:/ymir work/ui/premium_logo_v2.png|e
CATEGORY_ARMOR_ARMOR_BODY	Armurã
CATEGORY_ARMOR_ARMOR_GLOVE	Mãnuºi
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Eºarfe
CATEGORY_DRAGON_STONE	Alchimia Piatrã Dragon
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jad
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubine
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Altele
CATEGORY_EQUIPMENT_ARMOR	Echipament
CATEGORY_EQUIPMENT_JEWELRY	Bijuterii
CATEGORY_EQUIPMENT_WEAPON	Arme
CATEGORY_ETC	Altele
CATEGORY_ETC_ETC	Altele
CATEGORY_ETC_EVENT	Obiecte Eveniment
CATEGORY_ETC_GIFTBOX	Cufere | Cutii
CATEGORY_ETC_MATRIMORY	Mariaj
CATEGORY_ETC_PARTI	Cartea Arta Rãzboiului
CATEGORY_ETC_POLYMORPH	Marmurã Transformare
CATEGORY_ETC_RECIPE	Producþie Licori
CATEGORY_ETC_SEAL	Personalizate
CATEGORY_FISHING_PICK	Pescuit | Minerit
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Târnãcoape
CATEGORY_FISHING_PICK_ETC	Altele
CATEGORY_FISHING_PICK_FISHING_POLE	Momealã de Pescuit
CATEGORY_FISHING_PICK_FOOD	Peºte
CATEGORY_FISHING_PICK_PICK_BOOK	Ghid de Minat
CATEGORY_FISHING_PICK_STONE	Minereuri
CATEGORY_JEWELRY_ARMOR_EAR	Cercei
CATEGORY_JEWELRY_ARMOR_FOOTS	Pantofi
CATEGORY_JEWELRY_ARMOR_NECK	Coliere
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Brãþãri
CATEGORY_JEWELRY_ITEM_BELT	Curele
CATEGORY_MOUNT_PET	Mounti | Însoþitori
CATEGORY_MOUNT_PET_CHARGED_PET	Însoþitori
CATEGORY_MOUNT_PET_EGG	Ouã Însoþitori
CATEGORY_MOUNT_PET_FREE_PET	Însoþitori Avansaþi
CATEGORY_MOUNT_PET_MOUNT	Mounþi
CATEGORY_POTION	Licori
CATEGORY_POTION_ABILITY	Consumabile
CATEGORY_POTION_ETC	Altele
CATEGORY_POTION_HAIRDYE	Vopsele de Pãr
CATEGORY_SKILL	Abilitãþi
CATEGORY_SKILL_BOOK_OF_OBLIVION	Cartea Uitãrii
CATEGORY_SKILL_ETC	Altele
CATEGORY_SKILL_PAHAE	Respingere | Ajutor
CATEGORY_SKILL_SKILL_BOOK	Cãrþi Abilitãþi
CATEGORY_TUNING	Îmbunãtãþiri
CATEGORY_TUNING_ETC	Altele
CATEGORY_TUNING_RESOURCE	Materiale
CATEGORY_TUNING_STONE	Pietrele Spiritului
CATEGORY_UNIQUE	Obiecte Speciale
CATEGORY_UNIQUE_ABILITY	Cosumabile
CATEGORY_UNIQUE_ETC	Altele
CATEGORY_WEAPON_WEAPON_ARROW	Sãgeþi
CATEGORY_WEAPON_WEAPON_BELL	Clopote
CATEGORY_WEAPON_WEAPON_BOW	Arcuri
CATEGORY_WEAPON_WEAPON_CLAW	Gheare
CATEGORY_WEAPON_WEAPON_DAGGER	Cuþite
CATEGORY_WEAPON_WEAPON_FAN	Evantaie
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Suliþe
CATEGORY_WEAPON_WEAPON_QUIVER	Tolbã
CATEGORY_WEAPON_WEAPON_SWORD	Arme O Mânã
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Arme Douã Mâini
SHOP_SEARCH_ITEM_TITLE	Shop-Search
SHOP_SEARCH_ITEM_CATEGORY_TITLE	Category
SHOP_SEARCH_ITEM_FAVOURITE_BUTTON	Favourites
SHOP_SEARCH_ITEM_COUNT_PER_PAGE	%d Items Per Page
SHOP_SEARCH_ITEM_PAGE_FIRST_TOOLTIP	First Page
SHOP_SEARCH_ITEM_PAGE_PREVIOUS_TOOLTIP	Previous Page
SHOP_SEARCH_ITEM_PAGE_NEXT_TOOLTIP	Next Page
SHOP_SEARCH_ITEM_PAGE_LAST_TOOLTIP	Last Page
SHOP_SEARCH_ITEM_NO_SEARCH_INFO	You are in the shop-search![ENTER]You can find all items currently sold in private shops here.[ENTER]Either select a category on the left,[ENTER]or enter an item name in the search above.
SHOP_SEARCH_ITEM_NO_RESULT_INFO	No items found.
SHOP_SEARCH_GRAPH_WEEKLY_BUTTON	1 Week
SHOP_SEARCH_GRAPH_MONTHLY_BUTTON	1 Month
SHOP_SEARCH_GRAPH_X_UNIT	(Unit: day of the month)
SHOP_SEARCH_GRAPH_Y_UNIT	(Unit: number of sales)
SHOP_SEARCH_SEARCH_OVERLAY	Item name...
SHOP_SEARCH_ITEM_MESSAGE_OWNER_TOOLTIP	Write a message
SHOP_SEARCH_ITEM_SUBMENU_TOOLTIP	Options
SHOP_SEARCH_ITEM_BUY_QUESTION	Would you like to buy %s for %s?
SHOP_SEARCH_CANNOT_BUY_NO_MONEY	You don't have enough yang.
SHOP_SEARCH_BUY_SUCCESS	The item has been purchased.
SHOP_SEARCH_BUY_NOT_EXIST	The item is no longer sold.
SHOP_SEARCH_BUY_PRICE_CHANGE	The price has been changed.
SHOP_SEARCH_BUY_TIMEOUT	The store is no longer open. 
SHOP_SEARCH_BUY_NO_PEER	An error has occurred.
SHOP_SEARCH_BUY_UNKNOWN	An unknown error has occurred.
SHOP_SEARCH_DROPDOWN_ADD_FAVOURITE	Add to favorites
SHOP_SEARCH_DROPDOWN_AVERAGE_PRICE	Average price
SHOP_SEARCH_SORT_TOOLTIP_RANDOM	Sorting: Any 
SHOP_SEARCH_SORT_TOOLTIP_ASC	Sorting: Ascending
SHOP_SEARCH_SORT_TOOLTIP_DESC	Sorting: Descending
SHOP_SEARCH_GRAPH_NO_HISTORY	This item has not yet been sold.
SHOP_SEARCH_GRAPH_REFRESH_SUCCESS	The data has been updated.
SHOP_SEARCH_GRAPH_AVERAGE_PRICE_TOOLTIP	Average <TEXT text="%s" color="%s">
SHOP_SEARCH_GRAPH_LAST_UPDATED	%s last updated
SHOP_SEARCH_FAV_TITLE	Favourites
SHOP_SEARCH_FAV_DESCRIPTION	- If a search term leads to results, it can be saved under Favorites.[ENTER][ENTER]- You can save up to 10 search terms. 
SHOP_SEARCH_FAV_SAVE_ALREADY	You have already saved this item as a favorite.
SHOP_SEARCH_FAV_SAVE_NO_EMPTY	You no longer have any free slots for favorites.
SHOP_SEARCH_FAV_SAVE_SUCCESS	The favorite has been saved.
SHOP_SEARCH_CAT_ALL	All
TOOLTIP_PASSIVE_HELPER_ACTUAL_POINTS	Numãr de puncte: {}
TOOLTIP_PASSIVE_HELPER_REQUIRED_POINTS	Puncte necesare: {}
UNIQUE_COMP	Competenþe unice
MOD_ACTIVE_MESSAGE	Scrie mesajul care urmeazã sã fie trimis. (Mod curent: |cff4EFF44Activat)
MOD_OFF_MESSAGE	Scrie mesajul care urmeazã sã fie trimis. (Mod curent: |cffFF1C32Dezactivat)
AUTO_MESSAGE_EMPTY	[!] Nu poþi trimite un mesaj gol.
WAIT_A_SEC	[!] Aºteaptã o secundã pentru a face asta.
EVENT_01	Eveniment Drop Cufere
EVENT_02	Eveniment True Damage
EVENT_03	Eveniment Cult Întunecat
EVENT_04	Eveniment Drop Metine
EVENT_05	Eveniment Drop ªefi
EVENT_06	Eveniment Litere
EVENT_07	Eveniment Ruletã
HAVE_100_CHANCE	Ai ºansã 100% de reuºitã la biolog.
TOOLTIP_APPLY_DEFENCE_MONSTER	Apãrare împotriva monºtrilor +%d%%	SA
SWITCHBOT_TEXT_01	[SwitchBot] Introdu un obiect în fereastrã.
SWITCHBOT_TEXT_02	[SwitchBot] Eroare, nu ai selectat nici un bonus.
SWITCHBOT_TEXT_03	[SwitchBot] Eroare, nu ai selectat valoarea unui bonus.
SWITCHBOT_TEXT_04	[SwitchBot] Eroare, nu poþi avea acelaºi bonus în 2 locuri.
SWITCHBOT_TEXT_05	Nume presetãri
SWITCHBOT_TEXT_06	Doreºti sã schimbi bonusurile pe acest obiect?
SWITCHBOT_TEXT_07	Obiectul va pierde bonusurile curente.
SWITCHBOT_TEXT_08	Schimbãtor de bonusuri
SWITCHBOT_TEXT_09	Obiect
SWITCHBOT_TEXT_10	Bonusuri
SWITCHBOT_TEXT_11	Presetãri
SWITCHBOT_TEXT_12	Salveazã
SWITCHBOT_TEXT_13	Schimbã
SWITCHBOT_TEXT_14	Bonusurile au fost gãsite dupã %d schimbãri.
UNCOMMON_TARGET	|cff00ff00Neobiºnuit
